"","player","i","pos","age","team","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","avg_salary","contract_year"
"1","A.J. Hammons",2017,"C",24,"DAL",22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,0.2,0,0.6,0.5,1,2.2,163,8.4,0.472,0.238,0.476,5.4,21,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-7.5,2,-0.1,868504,0
"3","A.J. Price",2012,"PG",25,"IND",44,1,12.9,1.3,4,0.339,0.6,2,0.295,0.8,2,0.384,0.414,0.6,0.8,0.8,0.3,1.1,2,0.5,0,0.7,0.7,3.9,568,11.5,0.454,0.506,0.201,2.6,9.4,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.2,-1.7,0,701359,1
"4","A.J. Price",2013,"PG",26,"WAS",57,22,22.4,2.8,7.2,0.39,1.2,3.5,0.35,1.6,3.7,0.427,0.475,0.9,1.1,0.79,0.4,1.6,3.6,0.6,0.1,1.1,1.3,7.7,1278,12.4,0.501,0.484,0.15,1.7,8.2,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,0.1,885120,0
"5","A.J. Price",2015,"PG",28,"TOT",26,0,12.5,2,5.3,0.372,0.6,2.2,0.263,1.4,3.1,0.45,0.427,0.6,0.9,0.667,0.2,1,1.8,0.3,0,0.5,0.6,5.1,324,12,0.451,0.416,0.175,2.1,8.9,23.5,1.1,0,8.7,22.5,0,0.2,0.3,0.041,-0.7,-3.1,-0.1,6255,0
"6","A.J. Price",2015,"PG",28,"PHO",5,0,8.8,0.6,2.8,0.214,0,1.4,0,0.6,1.4,0.429,0.214,0,0,NA,0,0.6,1.2,0,0,0.2,1,1.2,44,-1.6,0.214,0.5,0,0,7.5,18.7,0,0,6.7,15,-0.1,0,-0.1,-0.14,-7.7,-4.1,-0.1,6255,0
"7","A.J. Price",2015,"PG",28,"IND",10,0,19.3,3.9,8.9,0.438,1.5,3.9,0.385,2.4,5,0.48,0.522,1.2,1.8,0.667,0.2,1.2,2.7,0.4,0,1,0.9,10.5,193,17.1,0.542,0.438,0.202,1.2,6.8,25.3,1.1,0,9.4,25.1,0.3,0.2,0.5,0.123,2.7,-3.6,0.1,6255,0
"8","A.J. Price",2015,"PG",28,"CLE",11,0,7.9,0.8,3.1,0.265,0,1,0,0.8,2.1,0.391,0.265,0.4,0.5,0.667,0.4,1,1.2,0.3,0,0.3,0.1,2,87,7.7,0.3,0.324,0.176,5.4,14.3,22.1,1.8,0,7.6,20.6,-0.2,0.1,-0.1,-0.051,-4.6,-1.5,-0.1,6255,0
"9","Aaron Brooks",2013,"PG",28,"HOU",7,0,5.4,0.6,1.9,0.308,0.3,1,0.286,0.3,0.9,0.333,0.385,0,0,NA,0.1,0.1,0.9,0.1,0.4,0.6,0.7,1.4,38,5.6,0.385,0.538,0,3,3,23.1,1.3,6,23.5,19.6,-0.1,0,0,-0.063,-5.8,-0.5,0,2454000,1
"10","Aaron Brooks",2013,"PG",28,"SAC",46,20,20.8,3,6.6,0.459,1,2.8,0.378,2,3.8,0.517,0.538,0.9,1.1,0.769,0.3,1.4,2.3,0.6,0.2,1.4,1.9,8,959,12.1,0.562,0.419,0.172,1.4,8.1,17.8,1.5,0.6,16.2,18,0.9,0,0.9,0.045,0.2,-2.7,-0.1,2454000,1
"11","Aaron Brooks",2013,"PG",28,"TOT",53,20,18.8,2.7,6,0.453,0.9,2.5,0.373,1.8,3.4,0.511,0.532,0.8,1,0.769,0.2,1.3,2.2,0.6,0.2,1.3,1.8,7.1,997,11.8,0.555,0.424,0.165,1.5,7.9,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,0,-2.7,-0.2,2454000,1
