"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"1","aarongordon",1,"Aaron Gordon\gordoaa01",179,"PF",22,"ORL",58,57,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6,28,19,4,263,6867,1135,2517,247,799,486,696,403,1538,447,204,162,300,519,3003,0.451,0.309,0.698,26.1,11.4,5.8,1.7,4504865
"2","abdelnader",143,"Abdel Nader\naderab01",363,"SF",24,"BOS",48,1,10.9,1,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3,82,24,1,48,522,50,149,23,65,23,39,13,71,26,15,10,34,45,146,0.336,0.354,0.59,10.9,3,1.5,0.5,1388032
"3","alexabrines",95,"Alex Abrines\abrinal01",1,"SG",24,"OKC",75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,1,23,2,143,2189,249,632,178,468,83,95,44,200,68,75,16,58,238,759,0.394,0.38,0.874,15.3,5.3,1.4,0.5,5725000
"4","andrewharrison",96,"Andrew Harrison\harrian01",202,"PG",23,"MEM",56,46,23.7,3.2,7.7,0.422,0.8,2.5,0.331,2.4,5.1,0.467,0.477,2.2,2.8,0.78,0.4,1.9,2.3,3.2,0.7,0.5,1.4,2.5,9.5,32,22,2,128,2800,298,789,90,298,272,353,46,267,375,91,47,166,332,958,0.378,0.302,0.771,21.9,7.5,2.1,2.9,994269
"5","andrewwiggins",2,"Andrew Wiggins\wiggian01",514,"SF",22,"MIN",82,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,2.5,3.8,0.643,1,3.4,4.4,2,1.1,0.6,1.7,2,17.7,80,19,4,327,11841,2369,5301,311,943,1398,1887,423,1351,683,337,177,684,701,6447,0.447,0.33,0.741,36.2,19.7,4.1,2.1,6212561
"6","antezizic",145,"Ante Zizic\zizican01",539,"C",21,"CLE",32,2,6.7,1.5,2.1,0.731,0,0,NA,1.5,2.1,0.731,0.731,0.7,0.9,0.724,0.8,1.1,1.9,0.2,0.1,0.4,0.3,0.9,3.7,120,21,1,32,214,49,67,0,0,21,29,24,60,5,2,13,11,30,119,0.731,NA,0.724,6.7,3.7,1.9,0.2,1798980
"7","bensimmons",147,"Ben Simmons\simmobe01",450,"PG",21,"PHI",81,81,33.7,6.7,12.3,0.545,0,0.1,0,6.7,12.2,0.551,0.545,2.4,4.2,0.56,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8,99,21,1,81,2732,544,998,0,11,191,341,145,659,661,140,70,278,211,1279,0.545,0,0.56,33.7,15.8,8.1,8.2,6036000
"8","bobanmarjanovic",49,"Boban Marjanovic\marjabo01",313,"C",29,"TOT",39,1,8.6,2,3.8,0.534,0,0,NA,2,3.8,0.534,0.534,2,2.5,0.794,1.2,2.5,3.7,0.6,0.3,0.3,0.9,1.3,6,36,27,3,128,1138,256,454,0,0,211,269,167,468,52,28,46,75,130,723,0.564,NA,0.784,8.9,5.6,3.7,0.4,7000000
"9","bobbyportis",50,"Bobby Portis\portibo01",410,"PF",22,"CHI",73,4,22.5,5.2,11.1,0.471,1.1,3.1,0.359,4.1,8.1,0.514,0.52,1.6,2.1,0.769,2.2,4.6,6.8,1.7,0.7,0.3,1.4,1.8,13.2,54,20,3,199,3745,751,1622,128,371,207,281,357,1131,210,91,56,194,324,1837,0.463,0.345,0.737,18.8,9.2,5.7,1.1,1453720
"12","brandoningram",97,"Brandon Ingram\ingrabr01",238,"SF",20,"LAL",59,59,33.5,6.1,12.9,0.47,0.7,1.8,0.39,5.4,11.1,0.483,0.497,3.3,4.8,0.681,1,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1,37,19,2,138,4254,634,1447,96,292,325,496,117,630,396,95,79,265,321,1689,0.438,0.329,0.655,30.8,12.2,4.6,2.9,5400540
"13","brandonpaul",149,"Brandon Paul\paulbr01",395,"SG",26,"SAS",64,2,9,0.9,2,0.433,0.2,0.8,0.278,0.6,1.1,0.548,0.492,0.3,0.7,0.512,0.1,1,1.1,0.6,0.4,0.1,0.5,0.9,2.3,89,26,1,64,576,55,127,15,54,22,43,6,68,37,25,7,29,58,147,0.433,0.278,0.512,9,2.3,1.1,0.6,1096929
"14","brynforbes",98,"Bryn Forbes\forbebr01",162,"SG",24,"SAS",80,12,19,2.6,6.2,0.421,1.1,2.9,0.39,1.5,3.4,0.446,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1,0.4,0,0.5,1.4,6.9,25,23,2,116,1802,245,596,106,281,53,78,14,133,103,29,2,48,128,649,0.411,0.377,0.679,15.5,5.6,1.1,0.9,724360
"15","buddyhield",99,"Buddy Hield\hieldbu01",215,"SG",24,"SAC",80,12,25.3,5.2,11.7,0.446,2.2,5.1,0.431,3,6.6,0.457,0.54,0.9,1,0.877,0.7,3.2,3.8,1.9,1.1,0.3,1.6,1.9,13.5,35,23,2,162,3912,743,1700,324,787,135,157,90,576,276,123,31,225,263,1945,0.437,0.412,0.86,24.1,12,3.6,1.7,3596340
