"","player","i","X1","rk","pos","age","tm.x","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","team","tm.y"
"1","A.J. Price",2013,16395,344,"PG",26,"WAS",57,22,22.4,2.8,7.2,0.39,1.2,3.5,0.35,1.6,3.7,0.427,0.475,0.9,1.1,0.79,0.4,1.6,3.6,0.6,0.1,1.1,1.3,7.7,1278,12.4,0.501,0.484,0.15,1.7,8.2,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,0.1,"WAS",885120
"2","Aaron Brooks",2013,16046,60,"PG",28,"HOU",7,0,5.4,0.6,1.9,0.308,0.3,1,0.286,0.3,0.9,0.333,0.385,0,0,NA,0.1,0.1,0.9,0.1,0.4,0.6,0.7,1.4,38,5.6,0.385,0.538,0,3,3,23.1,1.3,6,23.5,19.6,-0.1,0,0,-0.063,-5.8,-0.5,0,"HOU",2454000
"3","Aaron Brooks",2013,16044,60,"PG",28,"TOT",53,20,18.8,2.7,6,0.453,0.9,2.5,0.373,1.8,3.4,0.511,0.532,0.8,1,0.769,0.2,1.3,2.2,0.6,0.2,1.3,1.8,7.1,997,11.8,0.555,0.424,0.165,1.5,7.9,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,0,-2.7,-0.2,"HOU",2454000
"4","Aaron Brooks",2013,16045,60,"PG",28,"SAC",46,20,20.8,3,6.6,0.459,1,2.8,0.378,2,3.8,0.517,0.538,0.9,1.1,0.769,0.3,1.4,2.3,0.6,0.2,1.4,1.9,8,959,12.1,0.562,0.419,0.172,1.4,8.1,17.8,1.5,0.6,16.2,18,0.9,0,0.9,0.045,0.2,-2.7,-0.1,"HOU",2454000
"5","Aaron Brooks",2014,16632,65,"PG",29,"HOU",43,0,16.7,2.4,6.1,0.395,1.3,3.1,0.409,1.2,3,0.382,0.498,0.9,1,0.841,0.5,0.9,1.9,0.6,0.1,1.2,1.8,7,716,11.9,0.529,0.502,0.167,3.8,5.7,18.1,1.7,0.6,15.3,20.4,0.6,0.5,1.1,0.076,0.3,-2.1,0,"DEN",947907
"6","Aaron Brooks",2014,16631,65,"PG",29,"TOT",72,12,21.6,3.2,8.1,0.401,1.3,3.4,0.387,1.9,4.6,0.411,0.484,1.2,1.3,0.874,0.6,1.3,3.2,0.7,0.2,1.6,2,9,1557,12.5,0.518,0.427,0.164,3.1,6.7,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,0.4,-1.9,0.2,"DEN",947907
"7","Aaron Brooks",2014,16633,65,"PG",29,"DEN",29,12,29,4.4,11,0.406,1.4,4,0.362,3,7,0.431,0.472,1.6,1.8,0.902,0.7,2,5.2,0.9,0.2,2.3,2.4,11.9,841,12.9,0.508,0.365,0.16,2.6,7.5,27.7,1.6,0.6,16.2,20.5,0.6,0.4,1,0.058,0.4,-1.6,0.2,"DEN",947907
"8","Aaron Brooks",2015,17234,63,"PG",30,"CHI",82,21,23,4.2,10,0.421,1.5,3.8,0.387,2.7,6.1,0.442,0.495,1.8,2.1,0.833,0.4,1.6,3.2,0.7,0.2,1.9,2.3,11.6,1885,14.4,0.534,0.383,0.213,1.9,7.5,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,1,-2.4,0.3,"CHI",1145685
"9","Aaron Brooks",2016,17876,62,"PG",31,"CHI",69,0,16.1,2.7,6.8,0.401,1,2.7,0.357,1.8,4.1,0.43,0.471,0.7,0.9,0.766,0.3,1.2,2.6,0.4,0.1,1.2,1.9,7.1,1108,11.8,0.494,0.394,0.136,2,7.5,26,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-0.5,-2.8,-0.4,"CHI",2250000
"10","Aaron Brooks",2017,18458,58,"PG",32,"IND",65,0,13.8,1.9,4.6,0.403,0.7,2,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.9,0.4,0.1,1,1.4,5,894,9.5,0.507,0.427,0.133,2.3,6.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.5,-0.6,"IND",2700000
"11","Aaron Brooks",2018,19063,65,"PG",33,"MIN",32,1,5.9,0.9,2.2,0.406,0.3,1,0.355,0.5,1.2,0.447,0.486,0.3,0.3,0.727,0.2,0.3,0.6,0.2,0,0.3,0.9,2.3,189,9.8,0.508,0.449,0.159,4.2,6.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-0.8,-3.6,-0.1,"MIN",2116955
"12","Aaron Gray",2012,15621,177,"C",27,"TOR",49,40,16.6,1.7,3.3,0.516,0,0,NA,1.7,3.3,0.516,0.516,0.5,1,0.532,1.7,4,0.6,0.4,0.3,1,2.6,3.9,813,11.1,0.526,0,0.292,12.1,28.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.5,1.5,0,"TOR",2500000
"13","Aaron Gray",2013,16165,157,"C",28,"TOR",42,16,12.2,1.1,2.1,0.533,0,0,NA,1.1,2.1,0.533,0.533,0.5,1,0.523,1.1,2,0.8,0.2,0.1,0.9,2,2.8,513,9,0.544,0,0.489,10.9,20,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-0.1,"TOR",2632938
"14","Al Harrington",2014,16801,189,"PF",33,"WAS",34,0,15,2.4,6.1,0.396,1,2.9,0.34,1.4,3.1,0.449,0.478,0.8,1,0.771,0.4,1.9,0.8,0.4,0,1,2.1,6.6,511,9.7,0.506,0.483,0.169,3.3,15,8.7,1.4,0,13.3,22.7,-0.2,0.5,0.4,0.035,-2.2,-2.4,-0.3,"WAS",1399507
"15","Al Horford",2017,18636,203,"C",30,"BOS",68,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2,0.8,1.4,5.4,5,0.8,1.3,1.7,2,14,2193,17.7,0.553,0.302,0.169,4.9,18.6,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,1,2,2.8,"BOS",28331557
"16","Al Jefferson",2014,16848,230,"C",29,"CHA",73,73,35,9.6,18.8,0.509,0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,2.1,0.9,1.1,1.7,2.4,21.8,2553,22.7,0.532,0.011,0.201,6.9,28.3,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,0.3,1.5,2.5,"CHA",13500000
"17","Al Jefferson",2017,18659,221,"C",32,"IND",66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,0.9,0.3,0.2,0.5,1.9,8.1,931,18.9,0.526,0.002,0.18,9.2,24.2,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-0.2,"IND",10000000
"18","Al-Farouq Aminu",2014,16563,11,"SF",23,"NOP",80,65,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,1.4,1,0.5,1.1,1.8,7.2,2045,13.2,0.516,0.097,0.277,7.2,21.2,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-1.4,1,0.9,"NOP",3749602
"19","Al-Farouq Aminu",2015,17173,12,"SF",24,"DAL",74,3,18.5,2,4.8,0.412,0.5,1.7,0.274,1.5,3.1,0.485,0.459,1.1,1.6,0.712,1.5,3.1,0.8,0.9,0.8,0.7,1.9,5.6,1366,14.4,0.504,0.347,0.331,9.1,18.4,6.1,2.6,3.7,11.9,15.2,1.2,2,3.3,0.115,-0.5,2.9,1.5,"DAL",981084
