fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
quincyacy,TOR,PF,29,0,11.8,1.4,2.6,0.56,0.5670000000000001,1.1,1.3,0.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,15.9,0.632,0.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-0.6,1.3,0.7,0.2,789705
jeffadrien,CHA,PF,52,5,13.7,1.4,3.2,0.429,0.429,1.3,1.9,0.65,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4.0,13.4,0.493,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.5,0.4,1.0,0.064,-3.0,-0.2,-3.3,-0.2,784728
arronafflalo,ORL,SF,64,64,36.0,6.2,14.1,0.439,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,13.0,0.527,0.24600000000000002,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,0.042,-0.3,-2.0,-2.3,-0.2,7342500
lamarcusaldridge,POR,PF,74,74,37.7,8.6,17.8,0.484,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,20.4,0.53,0.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,4.8,2.3,7.2,0.124,0.3,0.5,0.8,2.0,13000000
lavoyallen,PHI,C,79,37,21.1,2.6,5.7,0.45399999999999996,0.45399999999999996,0.5,0.8,0.7170000000000001,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8,11.5,0.474,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.9,1.6,2.5,0.07200000000000001,-3.2,0.6,-2.6,-0.3,3030000
rayallen,MIA,SG,79,0,25.8,3.7,8.2,0.449,0.555,1.8,2.0,0.8859999999999999,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9,14.7,0.599,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,0.126,1.7,-1.5,0.2,1.1,3159525
tonyallen,MEM,SG,79,79,26.7,3.6,8.1,0.445,0.447,1.7,2.4,0.7170000000000001,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,13.2,0.489,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,1.0,4.1,5.1,0.115,-1.6,2.9,1.3,1.8,5000000
alfarouqaminu,NOH,SF,76,71,27.2,3.0,6.2,0.475,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,13.7,0.519,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-2.0,2.4,0.4,1.3,3749602
chrisandersen,MIA,C,42,0,14.9,1.7,2.9,0.5770000000000001,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9,17.4,0.631,0.7559999999999999,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-0.6,1.8,1.2,0.5,1423999
alananderson,TOR,SF,65,2,23.0,3.6,9.5,0.38299999999999995,0.46,1.9,2.3,0.857,0.5,1.8,2.3,1.6,0.7,0.1,1.2,2.0,10.7,12.6,0.509,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052000000000000005,0.4,-2.4,-2.0,0.0,1005646
ryananderson,NOH,PF,81,22,30.9,5.8,13.8,0.423,0.519,1.9,2.2,0.8440000000000001,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2,18.1,0.5479999999999999,0.161,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,5.7,0.8,6.5,0.125,4.1,-2.9,1.3,2.1,8500000
carmeloanthony,NYK,PF,67,67,37.0,10.0,22.2,0.449,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,24.8,0.56,0.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,7.5,2.0,9.5,0.184,4.7,-2.3,2.4,2.8,21388954
joelanthony,MIA,C,62,3,9.1,0.6,1.1,0.515,0.515,0.3,0.5,0.607,0.7,1.1,1.9,0.2,0.2,0.7,0.4,0.8,1.4,10.4,0.542,0.41200000000000003,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,0.4,0.8,1.2,0.1,-3.0,2.7,-0.3,0.2,3650000
trevorariza,WAS,SF,56,15,26.3,3.4,8.1,0.41700000000000004,0.501,1.4,1.7,0.821,0.8,4.0,4.8,2.0,1.3,0.4,1.5,1.3,9.5,14.0,0.5379999999999999,0.21100000000000002,3.3,16.9,10.0,12.7,2.5,1.1,14.6,17.9,0.7,2.4,3.1,0.102,-0.4,1.9,1.5,1.3,6790640
darrellarthur,MEM,PF,59,3,16.4,2.7,6.1,0.451,0.45799999999999996,0.6,0.8,0.7170000000000001,1.2,1.7,2.9,0.6,0.4,0.6,0.7,2.1,6.1,11.8,0.47700000000000004,0.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,0.2,1.5,1.7,0.084,-2.9,0.5,-2.4,-0.1,4837500
omerasik,HOU,C,82,82,30.0,4.0,7.5,0.541,0.541,2.0,3.6,0.562,3.4,8.3,11.7,0.9,0.6,1.1,2.1,2.7,10.1,14.9,0.5579999999999999,0.48700000000000004,12.8,31.0,22.0,4.6,0.9,2.7,18.8,16.3,2.0,3.5,5.5,0.10800000000000001,-2.6,1.3,-1.3,0.5,8374646
djaugustin,IND,PG,76,5,16.1,1.4,3.9,0.35,0.46399999999999997,1.1,1.3,0.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7,11.0,0.527,0.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,1.4,1.5,2.8,0.11199999999999999,-0.4,-1.4,-1.9,0.0,755459
jeffayres,IND,PF,37,0,10.0,1.6,3.4,0.484,0.49200000000000005,0.6,0.6,0.9129999999999999,0.8,2.0,2.8,0.4,0.2,0.3,0.6,1.2,3.9,14.5,0.5329999999999999,0.183,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,0.3,0.7,1.0,0.129,-3.5,0.6,-2.9,-0.1,1789375
lukebabbitt,POR,PF,62,0,11.8,1.4,3.8,0.368,0.5,0.2,0.2,0.769,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,3.9,9.4,0.509,0.055999999999999994,2.4,19.7,10.9,6.2,1.0,0.5,8.4,16.4,0.3,0.4,0.7,0.047,-1.2,-2.3,-3.6,-0.3,684540
leandrobarbosa,BOS,PG,41,2,12.5,2.0,4.7,0.43,0.47700000000000004,0.8,1.0,0.7559999999999999,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2,13.5,0.509,0.212,1.9,8.5,5.3,19.0,1.7,0.9,9.1,21.4,0.4,0.5,0.9,0.086,-1.1,-1.8,-2.9,-0.1,410936
