fix,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
quincyacy,PF,59,29,14.8,2.0,3.6,0.556,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,14.7,0.629,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,1.8,0.7,2.5,0.13699999999999998,0.2,0.0,0.2,0.5,1016155
stevenadams,C,80,80,25.2,3.3,5.3,0.613,0.613,1.4,2.5,0.5820000000000001,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,15.5,0.621,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.8,1.3,2.1,2.1,2423849
arronafflalo,SG,71,57,33.4,5.0,11.3,0.44299999999999995,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8,10.9,0.531,0.16399999999999998,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-0.6,-1.8,-2.4,-0.2,8000000
alexisajinca,C,59,17,14.6,2.5,5.3,0.47600000000000003,0.47600000000000003,0.9,1.1,0.8390000000000001,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0,13.8,0.514,0.19699999999999998,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,0.057999999999999996,-4.3,-0.2,-4.5,-0.5,5050000
colealdrich,C,60,5,13.3,2.2,3.8,0.596,0.596,1.0,1.4,0.7140000000000001,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,21.3,0.626,0.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,1.4,2.0,3.5,0.209,-1.0,5.8,4.8,1.4,1163944
lamarcusaldridge,PF,74,74,30.6,7.2,14.1,0.513,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,22.4,0.565,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,0.215,0.7,1.1,1.8,2.2,21018008
lavoyallen,PF,79,28,20.2,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4,12.4,0.532,0.19699999999999998,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,1.6,2.1,3.7,0.11,-2.1,1.4,-0.6,0.6,4025000
tonyallen,SG,64,57,25.3,3.4,7.3,0.45799999999999996,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4,12.9,0.505,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,0.07200000000000001,-1.5,1.4,-0.1,0.8,5000000
alfarouqaminu,SF,82,82,28.5,3.6,8.8,0.41600000000000004,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,12.7,0.5329999999999999,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.08199999999999999,-0.4,0.7,0.2,1.3,7500000
jamesanderson,SG,51,15,14.1,1.3,3.5,0.376,0.441,0.4,0.6,0.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5,6.0,0.469,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.3,-4.2,-0.4,1077272
justinanderson,SF,55,9,11.8,1.3,3.2,0.406,0.469,0.8,1.0,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,12.3,0.522,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,0.3,0.8,1.1,0.083,-2.5,1.3,-1.2,0.1,1514200
kyleanderson,SF,78,11,16.0,1.8,3.8,0.46799999999999997,0.488,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5,12.9,0.528,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,0.7,2.8,3.5,0.133,-1.9,3.7,1.8,1.2,1142880
ryananderson,PF,66,7,30.4,6.0,14.1,0.42700000000000005,0.498,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0,17.2,0.546,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,3.1,0.8,3.9,0.092,1.5,-2.9,-1.4,0.3,8500000
giannisantetokounmpo,PG,80,79,35.3,6.4,12.7,0.506,0.52,3.7,5.1,0.7240000000000001,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,18.8,0.5660000000000001,0.40399999999999997,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.0,1.5,2.4,3.2,2871714
carmeloanthony,SF,72,72,35.1,7.9,18.2,0.434,0.474,4.6,5.6,0.8290000000000001,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,20.3,0.53,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,0.121,2.8,-0.2,2.6,2.9,24812936
trevorariza,SF,81,81,35.3,4.4,10.6,0.41600000000000004,0.523,1.6,2.0,0.7829999999999999,0.8,3.7,4.5,2.3,2.0,0.3,1.4,2.2,12.7,12.9,0.551,0.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,3.1,2.3,5.4,0.09,1.2,0.3,1.5,2.5,8000001
darrellarthur,PF,70,16,21.7,3.2,7.0,0.452,0.498,0.6,0.8,0.755,1.2,3.0,4.2,1.4,0.8,0.7,0.9,2.6,7.5,12.5,0.514,0.10800000000000001,6.2,15.4,10.7,10.0,1.8,2.6,11.4,16.7,1.0,1.3,2.3,0.07200000000000001,-1.2,0.8,-0.3,0.6,2877315
omerasik,C,68,64,17.3,1.5,2.9,0.5329999999999999,0.5329999999999999,0.9,1.6,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4.0,11.0,0.551,0.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,0.7,1.0,1.7,0.07,-4.0,-0.2,-4.2,-0.7,11595505
lukebabbitt,SF,47,13,18.0,2.6,6.1,0.42200000000000004,0.498,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7.0,11.6,0.526,0.17300000000000001,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,0.8,0.3,1.1,0.064,-0.9,-2.0,-2.9,-0.2,1163944
