"","fix","Tm","Pos","G","GS","MP","FG","FGA","FG.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average.salary","Year"
"1","arronafflalo","SAC","SG",61,45,25.9,3,6.9,0.44,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,8.9,0.559,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2.1,-3.5,-0.6,2328652,2017
"2","alexisajinca","NOP","C",39,15,15,2.3,4.6,0.5,0.5,0.7,1,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,12.9,0.529,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-5.1,1,-4.1,-0.3,5050000,2017
"3","colealdrich","MIN","C",62,0,8.6,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,12.7,0.549,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2,2.6,0.6,0.4,7300000,2017
"4","lamarcusaldridge","SAS","PF",72,72,32.4,6.9,14.6,0.477,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,18.6,0.532,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,3.5,3.7,7.2,0.149,-0.3,1.3,1,1.8,21018008,2017
"5","tonyallen","MEM","SG",71,66,27,3.9,8.4,0.461,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,13.3,0.493,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-1.8,2.4,0.6,1.3,2328652,2017
"6","alfarouqaminu","POR","SF",61,25,29.1,3,7.6,0.393,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,11.3,0.506,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-2.3,1.2,-1.1,0.4,7500000,2017
"7","ryananderson","HOU","PF",72,72,29.4,4.5,10.7,0.418,0.55,1.8,2.1,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6,13.5,0.583,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4,1.1,5.2,0.117,1.8,-2.6,-0.8,0.6,20000000,2017
"8","carmeloanthony","NYK","SF",74,74,34.3,8.1,18.8,0.433,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,17.9,0.535,0.263,2.6,16,9.3,14.5,1.2,1.1,9,29.1,3.2,1.5,4.7,0.089,1.5,-2.2,-0.7,0.8,24812936,2017
"9","trevorariza","HOU","SF",80,80,34.7,4.1,10,0.409,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,12.4,0.548,0.158,2.1,15.9,9,8.8,2.5,0.6,7.9,14.1,2.8,3.2,6,0.104,0.7,1,1.7,2.6,8000001,2017
"10","darrellarthur","DEN","PF",41,7,15.6,2.3,5.2,0.442,0.565,0.5,0.5,0.864,0.6,2.1,2.7,1,0.5,0.5,0.9,1.9,6.4,12.8,0.583,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.3,-0.6,-0.3,0.3,7666667,2017
