,fix,PS.G,FGA,MP,VORP,TOV,PER,USG.,G,average.salary,perf_cluster,sal_bracket,over_under
0,arronafflalo,8.4,6.9,25.9,-0.6,0.7,8.9,14.4,61,2328652,4,1,3
1,alexisajinca,5.3,4.6,15.0,-0.3,0.8,12.9,17.2,39,5050000,5,3,2
2,colealdrich,1.7,1.4,8.6,0.4,0.3,12.7,9.4,62,7300000,1,3,-2
3,lamarcusaldridge,17.3,14.6,32.4,1.8,1.4,18.6,24.5,72,21018008,6,7,-1
4,tonyallen,9.1,8.4,27.0,1.3,1.4,13.3,17.9,71,2328652,3,1,2
5,alfarouqaminu,8.7,7.6,29.1,0.4,1.5,11.3,15.4,61,7500000,4,3,1
6,ryananderson,13.6,10.7,29.4,0.6,0.8,13.5,17.9,72,20000000,6,6,0
7,carmeloanthony,22.4,18.8,34.3,0.8,2.1,17.9,29.1,74,24812936,8,8,0
8,trevorariza,11.7,10.0,34.7,2.6,0.9,12.4,14.1,80,8000001,6,3,3
9,darrellarthur,6.4,5.2,15.6,0.3,0.9,12.8,17.3,41,7666667,5,3,2
10,omerasik,2.7,2.1,15.5,-0.1,0.5,9.8,8.8,31,11595505,5,4,1
11,djaugustin,7.9,6.6,19.7,-0.9,1.2,11.0,19.4,78,7250000,3,3,0
12,lukebabbitt,4.8,4.1,15.7,0.0,0.4,8.3,13.0,68,1974159,1,1,0
13,harrisonbarnes,19.2,16.2,35.5,0.1,1.3,16.3,25.3,79,23609631,6,7,-1
14,willbarton,13.7,11.1,28.4,1.0,1.6,15.5,21.1,60,3533333,7,2,5
15,nicolasbatum,15.1,12.7,34.0,2.1,2.5,15.8,22.3,77,24000000,6,7,-1
16,aronbaynes,4.9,3.7,15.5,0.1,0.7,13.1,14.1,75,4328000,1,2,-1
17,kentbazemore,11.0,9.9,26.9,0.6,1.7,11.5,20.5,73,17500000,6,6,0
18,bradleybeal,23.1,17.2,34.9,2.8,2.0,20.1,26.5,77,25434263,8,8,0
19,michaelbeasley,9.4,7.3,16.7,-0.2,1.2,17.8,25.3,56,2116955,2,1,1
20,marcobelinelli,10.5,8.3,24.0,0.1,0.9,13.3,19.2,74,6333333,3,3,0
21,patrickbeverley,9.5,8.1,30.7,2.3,1.5,13.0,14.1,67,5756757,4,3,1
22,bismackbiyombo,6.0,4.2,22.1,-0.1,1.2,12.2,13.2,81,18000000,3,6,-3
23,ericbledsoe,21.1,15.7,33.0,2.9,3.4,20.5,28.1,66,14000000,7,5,2
24,trevorbooker,10.0,8.3,24.7,0.9,1.8,15.7,18.7,71,9187500,3,4,-1
25,averybradley,16.3,14.1,33.4,0.7,1.6,14.4,21.9,55,8000000,7,3,4
26,aaronbrooks,5.0,4.6,13.8,-0.6,1.0,9.5,19.2,65,2116955,1,1,0
27,alecburks,6.7,5.9,15.5,-0.4,0.8,11.6,22.7,42,10500000,2,4,-2
28,demarrecarroll,8.9,7.6,26.1,1.4,0.8,11.9,15.6,72,14500000,3,5,-2
29,vincecarter,8.0,6.7,24.6,1.4,0.7,11.7,14.9,73,8000000,3,3,0
30,tysonchandler,8.4,4.9,27.6,0.5,1.4,16.6,11.2,47,13000000,2,5,-3
31,wilsonchandler,15.7,13.2,30.9,0.6,1.6,14.9,22.0,71,11625000,6,4,2
32,jordanclarkson,14.7,13.1,29.2,-0.4,2.0,13.2,23.3,82,12500000,6,5,1
33,darrencollison,13.2,10.5,30.3,0.3,1.7,15.3,19.8,68,10000000,6,4,2
34,mikeconley,20.5,14.6,33.2,4.5,2.3,23.2,26.3,69,30521115,8,8,0
35,allencrabbe,10.7,8.2,28.5,0.6,0.8,11.6,14.9,79,18708125,3,6,-3
36,jamalcrawford,12.3,10.6,26.3,-0.6,1.6,12.0,22.7,82,4436200,6,2,4
37,jaecrowder,13.9,10.0,32.4,2.1,1.1,14.9,17.0,72,7000000,6,3,3
38,dantecunningham,6.6,5.4,25.0,0.6,0.4,10.2,10.7,66,2300000,4,1,3
39,stephencurry,25.3,18.3,33.4,6.2,3.0,24.6,30.1,79,40231758,8,8,0
40,anthonydavis,28.0,20.3,36.1,3.9,2.4,27.5,32.6,75,25434263,8,8,0
41,eddavis,4.3,3.1,17.2,0.0,0.8,11.5,12.0,46,6666667,2,3,-1
42,matthewdellavedova,7.6,7.0,26.1,-1.4,1.8,9.4,16.3,76,9607500,3,4,-1
43,luoldeng,7.6,7.6,26.5,-0.2,0.8,10.1,14.2,56,18000000,4,6,-2
44,demarderozan,27.3,20.9,35.4,1.9,2.4,24.0,34.3,74,27800000,8,8,0
45,spencerdinwiddie,7.3,5.1,22.6,0.4,1.1,12.7,14.1,59,967911,4,1,3
46,gorandragic,20.3,15.4,33.7,2.9,2.9,19.8,27.1,73,17000450,8,6,2
47,andredrummond,13.6,11.2,29.7,1.8,1.9,20.9,22.4,81,25434263,6,8,-2
48,jareddudley,6.8,5.4,21.3,0.6,1.1,10.6,13.8,64,10000000,4,4,0
49,kevindurant,25.1,16.5,33.4,5.2,2.2,27.6,27.8,62,25625000,7,8,-1
50,wayneellington,10.5,9.0,24.2,0.7,0.5,12.6,17.9,62,6135000,4,3,1
51,kennethfaried,9.6,6.8,21.2,0.9,1.0,20.3,18.3,61,12500000,4,5,-1
52,derrickfavors,9.5,8.3,23.7,0.6,1.2,15.8,20.7,50,11737500,2,4,-2
53,raymondfelton,6.7,6.4,21.3,0.4,1.0,10.9,16.5,80,2328652,3,1,2
54,evanfournier,17.2,13.7,32.9,0.4,2.1,13.9,23.5,68,17000000,7,6,1
55,timfrazier,7.1,6.2,23.5,-0.1,1.6,12.4,16.3,65,2045000,4,1,3
56,channingfrye,9.1,7.0,18.9,0.5,0.7,15.6,19.3,74,8000000,1,3,-2
57,danilogallinari,18.2,11.9,33.9,1.5,1.3,17.4,20.0,63,21587579,7,7,0
58,marcgasol,19.5,15.7,34.2,4.0,2.2,20.3,26.4,74,22642350,8,7,1
59,paugasol,12.4,9.4,25.4,2.4,1.3,20.2,21.3,64,16000000,4,5,-1
60,rudygay,18.7,14.7,33.8,0.7,2.5,17.9,25.8,30,8616150,5,4,1
61,paulgeorge,23.7,18.0,35.9,3.2,2.9,20.2,28.9,75,18314532,8,6,2
62,manuginobili,7.5,6.4,18.7,1.3,1.4,13.9,20.4,69,2500000,1,2,-1
63,ericgordon,16.2,13.5,31.0,0.4,1.6,13.2,22.1,75,13221622,6,5,1
64,marcingortat,10.8,8.2,31.2,1.5,1.5,15.4,14.7,82,12000000,3,4,-1
65,dannygreen,7.3,6.6,26.6,2.0,1.1,10.1,13.5,68,10000000,4,4,0
66,draymondgreen,10.2,8.6,32.5,4.6,2.4,16.5,16.2,76,16400000,6,6,0
67,geraldgreen,5.6,4.9,11.4,-0.4,0.5,11.9,22.7,47,2328652,2,1,1
68,jeffgreen,9.2,8.1,22.2,-1.0,1.1,10.5,20.3,69,2328652,4,1,3
69,blakegriffin,21.6,15.9,34.0,3.4,2.3,22.6,28.0,61,34234964,7,8,-1
70,jamesharden,29.1,18.9,36.4,9.0,5.7,27.4,34.2,81,29491212,8,8,0
71,mauriceharkless,10.0,8.1,28.9,1.5,1.1,13.1,15.2,77,10500000,3,4,-1
72,devinharris,6.7,5.2,16.7,0.4,0.9,13.8,19.7,65,4140721,1,2,-1
73,joeharris,8.2,7.0,21.9,-0.3,1.1,9.0,16.5,52,1015838,2,1,1
74,tobiasharris,16.1,13.0,31.3,2.0,1.2,16.9,21.7,82,16000000,6,5,1
75,gordonhayward,21.9,15.8,34.5,4.0,1.9,22.2,27.6,73,31957493,8,8,0
76,johnhenson,6.8,5.3,19.4,0.6,0.9,15.3,16.6,58,12000000,4,4,0
77,nenehilario,9.1,5.9,17.9,0.7,1.1,18.9,19.7,67,3651480,1,2,-1
78,georgehill,16.9,12.4,31.5,2.2,1.7,19.3,23.5,49,19000000,7,6,1
79,solomonhill,7.0,6.0,29.7,1.0,1.0,8.0,11.5,80,12000000,3,4,-1
80,jrueholiday,15.4,13.3,32.7,2.0,2.9,17.1,23.5,67,26361000,7,8,-1
81,justinholiday,7.7,6.6,20.0,0.4,0.8,12.7,16.9,82,4500000,3,2,1
82,rondaehollisjefferson,8.7,6.9,22.6,0.4,1.5,13.7,18.7,78,1395600,3,1,2
83,alhorford,14.0,11.8,32.3,2.8,1.7,17.7,19.7,68,28331557,6,8,-2
84,dwighthoward,13.5,8.3,29.7,2.4,2.3,20.8,19.2,74,23500000,6,7,-1
85,krishumphries,4.6,3.8,12.3,-0.1,0.5,13.6,17.6,56,2328652,2,1,1
86,andreiguodala,7.6,5.5,26.3,2.5,0.8,14.3,11.2,76,16000000,3,5,-2
87,kyrieirving,25.2,19.7,35.1,2.9,2.5,23.0,30.8,72,18868625,8,6,2
88,reggiejackson,14.5,13.0,27.4,0.2,2.2,14.9,26.4,52,16000000,7,5,2
89,lebronjames,26.4,18.2,37.8,7.3,4.1,27.0,30.0,74,33285709,8,8,0
90,aljefferson,8.1,7.1,14.1,-0.2,0.5,18.9,26.1,66,10000000,1,4,-3
91,richardjefferson,5.7,4.3,20.4,-0.2,0.7,8.3,12.2,79,2537500,3,2,1
92,jonasjerebko,3.8,3.4,15.8,0.0,0.5,9.3,11.4,78,4100000,1,2,-1
93,amirjohnson,6.5,4.6,20.1,1.7,1.0,15.0,13.6,80,11000000,3,4,-1
94,jamesjohnson,12.8,10.1,27.4,2.5,2.3,17.0,22.0,76,14431700,6,5,1
95,joejohnson,9.2,8.0,23.6,0.8,0.9,12.8,18.5,78,10752500,3,4,-1
96,tylerjohnson,13.7,11.3,29.8,1.9,1.2,15.9,20.9,73,12500000,6,5,1
97,wesleyjohnson,2.7,2.9,11.9,0.0,0.3,8.4,12.5,68,5881260,1,3,-2
98,deandrejordan,12.7,7.1,31.7,3.9,1.4,21.8,15.3,81,21904013,6,7,-1
99,coryjoseph,9.3,8.3,25.0,0.6,1.4,13.2,18.4,80,7472500,3,3,0
100,eneskanter,14.3,10.2,21.3,0.3,1.7,23.7,27.3,72,17515007,6,6,0
101,michaelkiddgilchrist,9.2,7.6,29.0,1.3,0.7,14.3,14.6,81,13000000,3,5,-2
102,seankilpatrick,13.1,10.5,25.1,-0.4,1.9,13.1,23.8,70,750951,6,1,5
103,brandonknight,11.0,9.7,21.1,-0.7,1.6,12.4,25.0,54,14000000,2,5,-3
