fix,Tm,Pos,G,GS,MP,FG,FGA,FG%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
quincyacy,BRK,PF,70,8,19.4,1.9,5.2,0.35600000000000004,0.496,0.7,0.9,0.8170000000000001,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,0.525,0.16399999999999998,3.1,17.0,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,0.036000000000000004,-2.0,-0.2,-2.2,-0.1
stevenadams,OKC,C,76,76,32.7,5.9,9.4,0.629,0.629,2.1,3.8,0.557,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,0.63,0.40299999999999997,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,6.7,3.0,9.7,0.187,2.2,1.1,3.3,3.3
bamadebayo,MIA,C,69,19,19.8,2.5,4.9,0.512,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,0.57,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,-1.6,1.8,0.2,0.8
arronafflalo,ORL,SG,53,3,12.9,1.2,3.1,0.401,0.485,0.4,0.5,0.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,0.516,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009000000000000001,-4.1,-1.8,-5.8,-0.7
lamarcusaldridge,SAS,C,75,75,33.5,9.2,18.0,0.51,0.52,4.5,5.3,0.8370000000000001,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.2,23.1,0.57,0.29600000000000004,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,3.0,0.3,3.3,3.3
jarrettallen,BRK,C,72,31,20.0,3.3,5.5,0.589,0.596,1.6,2.0,0.7759999999999999,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,0.636,0.37,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8
alfarouqaminu,POR,PF,69,67,30.0,3.3,8.4,0.395,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3,0.522,0.13699999999999998,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.09699999999999999,-0.8,1.9,1.1,1.6
ryananderson,HOU,PF,66,50,26.1,3.1,7.3,0.431,0.568,1.1,1.4,0.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,0.5920000000000001,0.19399999999999998,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.7,4.8,0.132,1.0,-0.8,0.2,1.0
giannisantetokounmpo,MIL,PF,75,75,36.7,9.9,18.7,0.529,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,0.598,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4
carmeloanthony,OKC,PF,78,78,32.1,6.1,15.0,0.40399999999999997,0.47600000000000003,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,0.503,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-1.9,-1.9,-3.8,-1.1
trevorariza,HOU,SF,67,67,33.9,4.0,9.7,0.41200000000000003,0.542,1.1,1.3,0.8540000000000001,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7,0.5670000000000001,0.13699999999999998,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,2.6,2.8,5.3,0.113,0.8,0.7,1.5,2.0
d,ORL,PG,75,36,23.5,3.3,7.2,0.452,0.557,2.2,2.5,0.868,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,10.2,0.615,0.35,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,3.3,0.8,4.1,0.11,1.5,-2.5,-0.9,0.5
lukebabbitt,TOT,SF,50,14,14.3,1.8,4.3,0.423,0.563,0.3,0.4,0.773,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,5.2,0.5760000000000001,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15.0,0.5,0.4,0.9,0.06,-1.0,-2.2,-3.2,-0.2
j,DAL,PG,69,10,23.2,4.4,10.0,0.439,0.522,1.2,1.5,0.784,0.2,2.7,2.9,6.3,0.5,0.0,2.1,1.2,11.6,0.545,0.14800000000000002,1.0,13.4,7.0,45.1,1.1,0.2,16.3,24.9,2.3,1.0,3.3,0.098,2.4,-2.3,0.1,0.8
harrisonbarnes,DAL,PF,77,77,34.2,7.0,15.7,0.445,0.494,3.4,4.1,0.8270000000000001,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2,18.9,0.539,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2.0,1.9,3.8,0.07,-0.7,-1.4,-2.1,-0.1
willbarton,DEN,SG,81,40,33.1,5.7,12.7,0.452,0.528,2.2,2.8,0.805,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7,0.562,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.6,1.0,2.0
nicolasbatum,CHO,SG,64,64,31.0,4.2,10.2,0.415,0.486,1.7,2.0,0.831,0.9,3.9,4.8,5.5,1.0,0.4,2.0,1.1,11.6,0.523,0.2,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,1.7,1.8,3.5,0.084,0.9,0.5,1.4,1.7
jerrydbayless,PHI,SG,39,11,23.7,2.8,6.7,0.41600000000000004,0.519,0.9,1.1,0.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,0.546,0.168,1.8,7.3,4.7,8.0,1.2,0.5,14.1,15.1,0.2,0.9,1.1,0.055,-1.8,-1.0,-2.7,-0.2
aronbaynes,BOS,C,81,67,18.3,2.6,5.5,0.47100000000000003,0.474,0.7,1.0,0.7559999999999999,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,6.0,0.502,0.175,9.7,22.1,16.0,9.6,0.7,2.9,14.3,16.8,0.5,2.5,3.0,0.09699999999999999,-3.8,2.1,-1.7,0.1
kentbazemore,ATL,SG,65,65,27.5,4.4,10.4,0.42,0.5,2.5,3.1,0.7959999999999999,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,0.547,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,0.2,2.0,2.2,0.059000000000000004,-0.6,1.1,0.4,1.1
bradleybeal,WAS,SG,82,82,36.3,8.3,18.1,0.46,0.527,3.6,4.5,0.7929999999999999,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6,0.564,0.248,2.3,11.5,6.9,21.0,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.11199999999999999,2.7,-1.0,1.7,2.7
michaelbeasley,NYK,PF,74,30,22.3,5.5,10.9,0.507,0.528,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,13.2,0.556,0.19699999999999998,6.5,21.2,13.9,12.5,1.1,2.3,14.0,26.9,0.9,1.5,2.4,0.069,-1.0,-0.4,-1.5,0.2
marcobelinelli,TOT,SG,80,2,24.3,4.2,9.5,0.442,0.539,1.9,2.0,0.9079999999999999,0.2,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1,0.5820000000000001,0.214,1.1,7.3,4.2,11.9,1.6,0.5,10.1,20.7,2.4,1.3,3.7,0.092,0.8,-2.1,-1.3,0.3
bismackbiyombo,ORL,C,82,25,18.2,2.2,4.3,0.52,0.52,1.2,1.9,0.65,1.8,4.0,5.7,0.8,0.3,1.2,1.0,1.9,5.7,0.556,0.446,10.5,24.0,17.2,6.5,0.7,5.1,16.6,14.9,1.1,1.8,2.9,0.094,-3.7,2.1,-1.6,0.2
ericbledsoe,TOT,PG,74,74,31.4,6.3,13.4,0.473,0.536,3.4,4.3,0.792,0.7,3.1,3.8,5.0,2.0,0.6,2.9,2.5,17.7,0.5820000000000001,0.322,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.11599999999999999,2.4,-0.3,2.1,2.4
bogdanbogdanovic,SAC,SG,78,53,27.9,4.4,9.9,0.446,0.529,1.3,1.5,0.84,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8,0.556,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,1.8,1.1,2.9,0.064,0.5,-1.5,-1.0,0.6
