"","fix","Pos.y","G","GS.y","MP","FG","FGA","FG..y","eFG..y","FT","FTA","FT..y","ORB","DRB.y","TRB","AST","STL","BLK","TOV","PF","PS.G","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average salary"
"1","alecburks","SG",78,12,28.1,4.9,10.7,0.457,0.487,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14,15.8,0.547,0.449,3,10.7,6.8,16.9,1.7,0.5,13,23.9,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5,2341929
"2","alexeyshved","SG",63,0,10.5,1.2,3.8,0.321,0.384,1.1,1.4,0.756,0.3,1,1.3,1.1,0.4,0.3,0.8,0.6,4,10.2,0.452,0.38,3.4,10.1,6.6,14.9,1.9,1.8,14.8,20.8,-0.4,0.7,0.2,0.017,-2.7,-0.4,-3.1,-0.2,3150000
"3","alexlen","C",42,3,8.6,0.8,1.9,0.423,0.423,0.5,0.7,0.645,0.9,1.4,2.4,0.1,0.1,0.4,0.6,1.6,2,7.3,0.469,0.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,3943345
"4","alfarouqaminu","SF",80,65,25.6,2.9,6.2,0.474,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1,0.5,1.1,1.8,7.2,13.2,0.516,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-1.4,1,-0.3,0.9,3749602
"5","andredrummond","C",81,81,32.3,5.9,9.5,0.623,0.623,1.7,4,0.418,5.4,7.8,13.2,0.4,1.2,1.6,1.4,3.4,13.5,22.6,0.599,0.427,17.5,27.7,22.3,2.2,2,4,10.7,16.7,6.4,3.5,9.9,0.182,1.1,0.5,1.6,2.4,2664793
"6","andreroberson","SG",40,16,10,0.8,1.7,0.485,0.5,0.2,0.3,0.7,0.9,1.5,2.4,0.4,0.5,0.3,0.5,1.9,1.9,9,0.518,0.147,10.7,15.6,13.3,5.2,2.4,2,20.8,10.1,0.2,0.6,0.8,0.099,-2.2,1.9,-0.3,0.2,1323828
"7","andrewnicholson","PF",76,5,15.4,2.4,5.5,0.429,0.462,0.6,0.8,0.825,0.7,2.7,3.4,0.3,0.2,0.3,0.7,2,5.7,9.9,0.489,0.136,5.1,19.5,12.3,3.5,0.8,1.5,10.3,19.3,-0.4,1,0.6,0.025,-4.7,-2,-6.7,-1.4,1706648
"8","anthonybennett","PF",52,0,12.8,1.5,4.3,0.356,0.384,0.8,1.3,0.638,0.9,2,3,0.3,0.4,0.2,0.9,1.8,4.2,6.9,0.425,0.307,8.1,18.4,13.1,4,1.6,1,15.5,20.3,-1.1,0.7,-0.4,-0.028,-5.8,-1.5,-7.3,-0.9,5563920
"9","anthonydavis","PF",67,66,35.2,7.8,15,0.519,0.52,5.2,6.6,0.791,3.1,7,10,1.6,1.3,2.8,1.6,3,20.8,26.5,0.582,0.438,10,23.3,16.6,8,2,6.7,8.3,25.2,7.2,3.2,10.4,0.212,2.3,2.2,4.5,3.9,5799503
"10","archiegoodwin","SG",52,0,10.3,1.5,3.2,0.455,0.47,0.7,1.1,0.673,0.5,1.2,1.7,0.4,0.4,0.2,0.8,0.9,3.7,10.3,0.507,0.329,5.3,13,9.2,5.7,1.9,1.6,18.7,19.4,-0.3,0.5,0.2,0.018,-3.9,-0.4,-4.3,-0.3,1357732
"11","aronbaynes","C",53,4,9.3,1.3,3.1,0.436,0.436,0.4,0.4,0.905,1.1,1.7,2.7,0.6,0,0.1,0.7,1.5,3,9.7,0.467,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-0.1,0.6,0.6,0.055,-3.7,-0.3,-4,-0.2,514230
"12","austinrivers","PG",69,4,19.4,2.8,6.9,0.405,0.443,1.6,2.5,0.636,0.4,1.5,1.9,2.3,0.7,0.1,1.1,1.9,7.7,11.6,0.482,0.365,2.2,9.1,5.6,18.7,1.8,0.6,12.3,21.3,0.2,0.4,0.6,0.023,-1.5,-2.5,-3.9,-0.7,2339080
"13","averybradley","SG",60,58,30.9,6,13.8,0.438,0.485,1.5,1.9,0.804,0.8,3,3.8,1.4,1.1,0.2,1.6,2.4,14.9,12.7,0.51,0.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,0.4,1.4,1.8,0.046,-1.1,-1.4,-2.5,-0.2,1771218
"14","benmclemore","SG",82,55,26.7,3.1,8.3,0.376,0.446,1.4,1.7,0.804,0.6,2.2,2.9,1,0.5,0.2,1.2,2.5,8.8,7.7,0.485,0.211,2.7,9.5,6.1,5.8,1,0.7,11.5,16.9,-0.1,0.9,0.8,0.016,-1.8,-1.3,-3.2,-0.6,3271931
"15","bernardjames","C",30,0,4.9,0.4,0.8,0.478,0.478,0.2,0.4,0.545,0.5,0.9,1.4,0.1,0.1,0.3,0.3,0.8,0.9,8.5,0.503,0.478,12,21.2,16.6,2.8,1.1,4.5,26.4,11.8,0,0.2,0.1,0.04,-4.8,1.1,-3.7,-0.1,788872
"16","bismackbiyombo","C",77,9,13.9,1.1,1.9,0.611,0.611,0.6,1.2,0.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9,13.3,0.606,0.618,11,27.6,19.3,1.1,0.3,6.3,17.9,9.6,1.1,2.1,3.2,0.144,-4.7,2.2,-2.5,-0.1,3161320
"17","blakegriffin","PF",80,80,35.8,9,17,0.528,0.533,6,8.4,0.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,23.9,0.583,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29,8.1,4.1,12.2,0.205,3,1.6,4.6,4.8,18907725
"18","bradleybeal","SG",73,73,34.7,6.6,15.7,0.419,0.479,2,2.6,0.788,0.7,3,3.7,3.3,1,0.2,1.8,2.1,17.1,14.3,0.507,0.164,2.4,10.2,6.3,16,1.4,0.6,9.4,24.3,1.6,2.4,4,0.076,0.2,-1.3,-1.1,0.5,4663129
"19","brandondavies","PF",51,0,11.3,1.1,2.5,0.422,0.43,0.7,1,0.642,0.7,1.4,2.1,0.5,0.5,0.2,0.7,1.8,2.8,7.5,0.476,0.414,6.9,13.9,10.2,7.1,2,1.1,18.8,13.7,-0.3,0.4,0.1,0.008,-5.3,-0.6,-5.9,-0.6,751313
"20","brandonknight","PG",72,69,33.3,6.4,15.2,0.422,0.473,3.6,4.5,0.802,0.6,2.9,3.5,4.9,1,0.2,2.6,2,17.9,16.5,0.523,0.296,2.1,10.3,6.1,26.6,1.5,0.6,13.2,26.8,2.4,0.4,2.8,0.055,2,-2.9,-0.9,0.7,2897459
"21","brianroberts","PG",72,42,23.2,3.4,8.1,0.42,0.475,1.7,1.8,0.94,0.2,1.7,1.9,3.3,0.6,0.1,1.3,1.8,9.4,13.4,0.529,0.229,1.2,8.4,4.7,22.1,1.3,0.4,12.9,20,2,0.2,2.2,0.063,0.3,-3.2,-2.9,-0.4,631238
"22","chandlerparsons","SF",74,74,37.6,6.3,13.3,0.472,0.538,2.2,3,0.742,0.9,4.6,5.5,4,1.2,0.4,1.9,2.3,16.6,15.9,0.565,0.224,2.9,12.8,8.2,17.3,1.6,0.8,11.7,19.3,5.1,2.5,7.6,0.131,2.2,0.4,2.6,3.2,832965
"23","chriscopeland","SF",41,0,6.5,1.3,2.9,0.47,0.611,0.2,0.3,0.714,0.2,0.6,0.8,0.4,0.1,0.2,0.3,0.9,3.7,17.6,0.621,0.12,3.1,10.1,6.8,12.6,0.6,2,10.2,23.7,0.6,0.4,1,0.186,3.5,-2.1,1.4,0.2,3067500
"24","cjmccollum","SG",38,0,12.5,1.9,4.7,0.416,0.5,0.6,0.9,0.676,0.2,1.1,1.3,0.7,0.4,0.1,0.9,1.4,5.3,9,0.521,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,-0.2,0.3,0.2,0.019,-2.1,-2,-4.1,-0.3,2620615
"25","codyzeller","C",82,3,17.3,2.1,4.9,0.426,0.426,1.8,2.4,0.73,1.4,2.9,4.3,1.1,0.5,0.5,1.1,2.1,6,13.1,0.498,0.495,9.4,18.8,14.1,10.4,1.5,2.3,15,18.9,0.4,2.2,2.6,0.09,-3.2,1.8,-1.3,0.2,4352528
"26","colealdrich","C",46,2,7.2,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2,2.8,0.3,0.2,0.7,0.4,0.9,2,19.1,0.62,0.492,12.8,33.8,23,6.4,1.3,8.1,19.5,13,0.6,0.6,1.2,0.178,-2.6,3.8,1.2,0.3,916099
"27","coryjoseph","SG",68,19,13.8,1.9,3.9,0.475,0.498,1.2,1.4,0.823,0.5,1.1,1.6,1.7,0.5,0.2,0.6,1.2,5,14.7,0.558,0.362,4,8.7,6.4,17.2,1.9,1.1,12.3,16.9,1.6,1.3,2.9,0.148,0,0.6,0.6,0.6,1290400
"28","damianlillard","PG",82,82,35.8,6.7,15.9,0.424,0.508,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.7,18.6,0.568,0.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25,7.8,1.8,9.6,0.157,4.4,-1.7,2.7,3.5,3461292
"29","dariusmiller","SF",45,7,16.1,1.6,3.7,0.44,0.515,0.6,0.8,0.806,0.2,1,1.2,1,0.5,0.2,0.5,2,4.4,9,0.55,0.217,1.4,7,4.2,8.7,1.7,1,10.8,12.8,0.6,0.2,0.8,0.055,-0.7,-1.7,-2.3,-0.1,631238
"30","dariusmorris","PG",27,0,11.6,1.4,3.6,0.406,0.469,0.6,1,0.654,0.3,0.7,1,1.6,0.5,0,1,1.2,4,9.2,0.498,0.271,2.5,6.8,4.6,21.5,2.1,0,20.1,18.6,-0.1,0.2,0,0.006,-2.9,-2.9,-5.7,-0.3,5202
"31","demarcuscousins","C",71,71,32.4,8.3,16.8,0.496,0.496,6.1,8.4,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7,26.1,0.555,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9,3950033
"32","derrickfavors","PF",73,73,30.2,5.3,10.2,0.522,0.522,2.6,3.9,0.669,2.7,6,8.7,1.2,1,1.5,1.8,3.2,13.3,19,0.556,0.38,10.1,23.7,16.7,7.3,1.8,3.8,12.9,20.8,2.9,2.3,5.1,0.112,-0.8,1.4,0.7,1.5,4834539
"33","derrickwilliams","SF-PF",78,15,23.3,2.6,6.2,0.427,0.454,2.4,3.3,0.718,0.9,3.2,4.1,0.7,0.6,0.3,1,1.5,8,11.5,0.524,0.537,4.3,15.8,10,4.7,1.3,0.9,11.3,16.2,1.3,1.3,2.6,0.068,-2.1,-0.5,-2.6,-0.3,4809840
"34","dewaynededmon","C",31,6,12.6,1.2,2.7,0.458,0.458,0.7,1,0.656,1.2,2.9,4.1,0.2,0.2,0.7,0.6,2.1,3.1,10.7,0.5,0.386,10.7,25.8,18.1,1.9,0.9,4.5,15.6,13.1,0.1,0.5,0.6,0.07,-6,0,-6,-0.4,687919
"35","diantegarrett","PG",71,0,14.8,1.4,3.7,0.381,0.449,0.1,0.2,0.833,0.2,1.2,1.4,1.7,0.6,0.1,1.1,1.1,3.5,7.1,0.459,0.045,1.2,9.8,5.3,17.6,2.1,0.4,21.7,15.1,-1.1,0.3,-0.8,-0.036,-4,-1.2,-5.2,-0.8,871952
"36","diontechristmas","SF",31,0,6.4,0.7,2,0.355,0.427,0.6,0.8,0.75,0.4,0.8,1.2,0.3,0.1,0.1,0.2,0.6,2.3,11.1,0.489,0.387,7.4,14.1,10.8,5.8,0.5,1.1,7.6,17.4,0.2,0.1,0.3,0.083,-1.1,-2.5,-3.6,-0.1,653331
"37","dionwaiters","SG",70,24,29.6,6.1,14.2,0.433,0.479,2.3,3.4,0.685,0.5,2.3,2.8,3,0.9,0.2,2.2,2.2,15.9,14,0.508,0.237,1.7,9,5.3,18.2,1.6,0.7,12.3,26.9,0.3,1.3,1.6,0.037,-0.2,-1.8,-2.1,0,4205318
"38","donaldsloan","SG",48,1,8.2,0.9,2.4,0.376,0.419,0.3,0.4,0.6,0.1,0.8,0.9,1,0.2,0,0.5,0.4,2.3,8.5,0.437,0.171,1.2,11,6.3,20.1,1.3,0.2,14.9,17.2,-0.3,0.6,0.3,0.039,-4.1,-0.7,-4.8,-0.3,916228
"39","donatasmotiejunas","PF",62,3,15.4,2.1,4.8,0.443,0.478,0.9,1.5,0.604,1,2.7,3.6,0.5,0.3,0.3,0.8,2.1,5.5,10.7,0.504,0.324,7.4,18.2,13.1,5.5,1,1.6,12.7,17.8,0.3,1,1.4,0.069,-2.7,-0.8,-3.5,-0.4,1639061
"40","doronlamb","SG",53,0,13.1,1.2,3,0.394,0.506,0.5,0.7,0.806,0.2,0.8,0.9,0.8,0.2,0,0.5,1,3.6,7.5,0.543,0.225,1.3,6.7,4,9.3,0.8,0.1,13.3,13.3,0.3,0.2,0.5,0.036,-2.2,-2.4,-4.6,-0.4,784705
"41","draymondgreen","SF",82,12,21.9,2.3,5.6,0.407,0.467,1,1.5,0.667,1,3.9,5,1.9,1.2,0.9,1.1,2.8,6.2,12.7,0.498,0.268,5.3,19.3,12.4,11.9,2.8,3,15.1,14.8,0.7,3.8,4.5,0.119,-1.6,4.4,2.8,2.2,880248
"42","eddavis","PF",63,4,15.2,2.5,4.6,0.534,0.534,0.7,1.4,0.528,1.5,2.7,4.1,0.4,0.3,0.7,0.6,1.8,5.7,15.9,0.542,0.307,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,1.2,1.4,2.6,0.129,-1.9,0.5,-1.3,0.2,2335775
"43","ekpeudoh","PF",42,14,19.1,1.4,3.4,0.399,0.399,0.7,1.1,0.638,1.5,2.1,3.5,0.7,0.4,1,0.9,2.3,3.4,7.6,0.44,0.329,8.4,12.8,10.5,5.7,1,4.4,18.8,11.4,-0.4,0.4,0,0,-4.7,1.2,-3.5,-0.3,3588607
"44","elliotwilliams","SG",67,2,17.3,2.1,5,0.415,0.47,1.3,1.8,0.731,0.4,1.5,1.9,1.1,0.5,0,1,1.9,6,8.7,0.519,0.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,0,0.3,0.3,0.014,-3.2,-2.6,-5.7,-1.1,959744
