"","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1"
"1","Aaron Gordon\gordoaa01",179,"PF",22,"ORL",58,57,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6,28,19,4,263,6867,1135,2517,247,799,486,696,403,1538,447,204,162,300,519,3003,0.451,0.309,0.698,26.1,11.4,5.8,1.7
"2","Andrew Wiggins\wiggian01",514,"SF",22,"MIN",82,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,2.5,3.8,0.643,1,3.4,4.4,2,1.1,0.6,1.7,2,17.7,80,19,4,327,11841,2369,5301,311,943,1398,1887,423,1351,683,337,177,684,701,6447,0.447,0.33,0.741,36.2,19.7,4.1,2.1
"3","Bojan Bogdanovic\bogdabo02",55,"SF",28,"IND",80,80,30.8,5.1,10.7,0.474,1.9,4.8,0.402,3.1,5.8,0.534,0.565,2.2,2.6,0.868,0.4,3,3.4,1.5,0.7,0.1,1.3,1.6,14.3,8,25,4,318,8516,1365,3022,519,1372,592,686,153,1015,397,152,29,430,498,3841,0.452,0.378,0.863,26.8,12.1,3.2,1.2
"4","Clint Capela\capelca01",85,"C",23,"HOU",74,74,27.5,6,9.1,0.652,0,0,0,6,9.1,0.653,0.652,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,12,20,4,228,5146,1048,1665,0,2,322,668,623,1858,180,152,317,255,568,2418,0.629,0,0.482,22.6,10.6,8.1,0.8
"5","Doug McDermott\mcderdo01",326,"SF",26,"DAL",26,3,22.9,3.3,6.9,0.478,1.5,3,0.494,1.8,3.9,0.465,0.586,0.9,1.1,0.857,0.3,2.3,2.5,1.1,0.3,0.2,0.8,1.9,9,50,23,4,264,5458,793,1756,292,724,217,264,103,617,202,50,28,164,357,2095,0.452,0.403,0.822,20.7,7.9,2.3,0.8
"6","Doug McDermott\mcderdo01",326,"SF",26,"TOT",81,4,21.8,2.9,6.3,0.467,1.1,2.7,0.426,1.8,3.6,0.497,0.557,0.8,1,0.79,0.5,2,2.5,1,0.2,0.2,0.7,1.5,7.8,50,23,4,264,5458,793,1756,292,724,217,264,103,617,202,50,28,164,357,2095,0.452,0.403,0.822,20.7,7.9,2.3,0.8
"7","Doug McDermott\mcderdo01",326,"SF",26,"NYK",55,1,21.3,2.7,6,0.46,1,2.5,0.387,1.8,3.5,0.513,0.541,0.7,1,0.755,0.6,1.8,2.4,0.9,0.2,0.2,0.6,1.3,7.2,50,23,4,264,5458,793,1756,292,724,217,264,103,617,202,50,28,164,357,2095,0.452,0.403,0.822,20.7,7.9,2.3,0.8
"8","Dwight Powell\poweldw01",412,"C",26,"DAL",79,25,21.2,3.2,5.4,0.593,0.4,1.1,0.333,2.9,4.4,0.656,0.626,1.7,2.3,0.719,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5,65,23,4,254,4233,626,1170,54,185,370,501,330,1073,193,173,101,144,479,1676,0.535,0.292,0.739,16.7,6.6,4.2,0.8
"9","Elfrid Payton\paytoel01",399,"PG",23,"TOT",63,63,28.7,5.2,10.6,0.493,0.5,1.5,0.326,4.7,9.1,0.52,0.516,1.7,2.7,0.649,1,3.3,4.3,6.2,1.3,0.3,2.7,2.3,12.7,64,20,4,300,8854,1378,3017,111,372,485,783,337,1271,1923,402,102,726,676,3352,0.457,0.298,0.619,29.5,11.2,4.2,6.4
"10","Elfrid Payton\paytoel01",399,"PG",23,"ORL",44,44,28.6,5.4,10.4,0.52,0.6,1.5,0.373,4.8,8.9,0.545,0.547,1.6,2.6,0.632,1.1,2.9,4,6.3,1.5,0.4,2.6,2.2,13,64,20,4,300,8854,1378,3017,111,372,485,783,337,1271,1923,402,102,726,676,3352,0.457,0.298,0.619,29.5,11.2,4.2,6.4
"11","Eric Moreland\moreler01",350,"PF",26,"DET",67,3,12,1,1.8,0.541,0,0,NA,1,1.8,0.541,0.541,0.2,0.4,0.379,1.2,2.9,4.1,1.2,0.5,0.8,0.6,1.7,2.1,55,23,3,78,855,70,129,0,0,13,33,84,290,79,31,55,45,121,153,0.543,NA,0.394,11,2,3.7,1
"12","Gary Harris\harriga01",198,"SG",23,"DEN",67,65,34.4,6.6,13.6,0.485,2.3,5.9,0.396,4.2,7.7,0.553,0.57,2,2.4,0.827,0.6,2.1,2.6,2.9,1.8,0.2,1.8,1.8,17.5,34,20,4,255,7244,1185,2527,389,1049,382,476,160,638,534,329,48,331,425,3141,0.469,0.371,0.803,28.4,12.3,2.5,2.1
